points,dices,res,settle1,rolls1,settle2,rolls2
5,101111369,CCLLOW,CCL,441,LOW,243
9,10114558,LOOSWW,OWW,123,LOS,342
10,1234568,COSSSW,SSW,215,COS,413
5,1034689,LLLLOS,LLO,241,LLS,313
10,01010689,HLOOWW,OOW,231,HLW,731
6,1034588,CLOSWW,COS,231,LWW,314
4,10115569,CCLOWW,COW,241,CLW,232
9,1134469,CCLOSW,COW,342,CLS,314d.res
5,10113456,CLLLSW,CLL,323,LSW,441
10,10114589,CLOSWW,COW,312,LSW,342
7,0103689,CHLOSW,LSW,412,CHO,371
7,1134568,CLLOSW,LSW,241,CLO,341
7,0113568,CCHLOS,CLO,214,CHS,471
10,1035689,CCLSSW,CLW,421,CSS,321
9,101011489,CLOSWW,CLO,324,SWW,133
9,1034589,CLOSSW,CSW,223,LOS,341
8,01010689,HLOSSW,OSW,321,HLS,731
10,10115569,LLOOSW,OOW,241,LLS,232
3,0113469,CDLOSW,CSW,341,DLO,724
7,1024589,CCLLOO,LOO,123,CCL,352
6,10123568,CLOSWW,LWW,213,COS,541
6,01011568,CHLOSW,LSW,214,CHO,371
6,10114699,CLSSWW,SSW,123,CLW,234
10,1034569,CCLOSW,CCW,232,LOS,341
10,101011589,CCLSWW,CCW,213,LSW,234
6,1134569,CLOSWW,COW,234,LSW,214
4,345689,COOSWW,CSW,212,OOW,134
4,10113568,LOSSSW,LSW,414,OSS,123
8,344689,CLLOSW,CLW,132,LOS,314
10,1145569,LOOSSW,OSW,212,LOS,324
7,01011458,CHLOOW,OOW,213,CHL,374
6,1034589,CLOSWW,OSW,232,CLW,341
6,0103458,DLLOWW,LOW,314,DLW,732
9,10114468,CLLOOS,LOS,133,CLO,134
9,1035699,CCLSSW,LSW,214,CCS,223
10,10112569,CCLLSW,CCS,214,LLW,235
9,10114589,CLLSSW,CSW,132,LLS,243
9,1226699,CLOOWW,LOO,215,CWW,125
10,1134566,CLOSSW,OSS,134,CLW,142
9,1034589,CLLOSW,LLO,232,CSW,143
6,10114589,CLOSSW,LOW,321,CSS,234
5,1133468,COSSWW,OSW,441,CSW,341
10,1035699,CCLLSW,CLL,214,CSW,232
5,10102489,CLOSSW,SSW,331,CLO,235
5,101111336,CCLOOO,LOO,414,CCO,344
6,10102599,CCLSSW,CLS,322,CSW,352
6,1035689,CLOWWW,COW,321,LWW,124
10,10114568,CCOSSW,CSW,331,COS,412
6,10113458,CLOSSW,OSW,213,CLS,344
6,034468,CHLOWW,LOW,341,CHW,371
3,01011369,CDLSWW,SWW,123,CDL,474
10,101011589,CCCLLW,CLL,322,CCW,341
4,10113568,CCCOWW,COW,231,CCW,144
10,10112569,CLOOSW,CLS,124,OOW,352
5,334689,LLSWWW,LSW,412,LWW,314
8,10104589,LLOOSS,LLO,223,OSS,331
9,1134489,CLLOWW,LOW,431,CLW,342
8,1034588,CLOSSW,LSW,231,COS,314
6,0102569,CHOSWW,OSW,223,CHW,175
10,1135669,CLOSSW,CSW,142,LOS,421
7,0105689,DLOSWW,LSW,122,DOW,731
10,1134568,CLLOSW,LOS,312,CLW,414
7,101112569,CLOOSS,COO,223,LSS,145
7,344689,CLOSWW,SWW,314,CLO,132
6,0112466,HOOSWW,OOS,143,HWW,715
7,10112556,LOOSWW,LOW,412,OSW,325
5,1034689,CCLSWW,LSW,133,CCW,241
10,101011599,CLOSWW,SWW,223,CLO,243
6,10102489,COOSSW,OSW,313,COS,352
9,10113568,CCLOSW,CCO,132,LSW,414
6,0124568,CHLSSW,CHW,173,LSS,215
10,1035699,CLLOSW,LSW,124,CLO,223
10,101011359,CLOOWW,OWW,223,CLO,434
4,10114589,CLOSSW,LOS,321,CSW,432
5,334689,CLLOSW,CLW,412,LOS,341
8,10114568,COSSWW,SWW,313,COS,421
6,101011348,CLSSWW,CSW,313,LSW,344
10,1135669,CLOSSW,CLO,214,SSW,142
7,1023489,CLLOOW,LOW,134,CLO,235
6,10105589,CCLLWW,LLW,132,CCW,232
8,10113599,CCOSWW,CWW,223,COS,424
7,0102368,HLLOSS,LLS,134,HOS,715
10,10115569,CLOOWW,LOO,322,CWW,421
6,334468,CLSSWW,LSW,341,CSW,143
9,0104589,CHLLSW,CHL,173,LSW,232
10,10123568,CLOSSW,COW,321,LSS,514
4,01011568,CCHOSS,COS,421,CHS,173
6,1034669,CLOSWW,OWW,134,CLS,321
4,0011556,BCHLOO,CLO,241,BHO,772
7,10114589,CLLOOW,COO,123,LLW,342
10,1034589,CLLSWW,CLW,223,LSW,341
6,1133469,CLSSSW,SSW,142,CLS,443
10,10113389,CLOSSS,COS,314,LSS,244
7,1124469,CCLLOW,LOW,235,CCL,134
9,1034568,LOOSWW,OOW,341,LSW,231
6,10114559,CLLOSW,LOS,234,CLW,322
7,1024589,CLLOSW,CLW,321,LOS,523
7,0103468,CDLSWW,SWW,314,CDL,371
10,0103689,BCLSWW,CLS,321,BWW,714
7,10115569,CCLOOS,COO,322,CLS,421
10,334689,CLOOSW,CLO,142,OSW,341
7,1055689,CLLSWW,CSW,122,LLW,231
3,1011111269,CCLOOW,LOW,324,CCO,145
4,0102568,CHLSSW,SSW,213,CHL,175
7,1134699,CCOSWW,COW,412,CSW,432
7,10113568,CLLOSW,CLW,144,LOS,132
10,10114568,CCOSSW,SSW,331,CCO,142
4,0103489,HLLLSW,HLS,723,LLW,143
6,01010589,CHLOSW,CSW,231,HLO,723
10,345689,CLLOSW,CLS,122,LOW,341
5,101112568,CLOSSW,OSS,321,CLW,154
5,0112469,HLOSWW,HLS,751,OWW,432
4,0123489,HOOSWW,OOS,134,HWW,725
4,10114599,CLLLSW,CSW,322,LLL,324
10,01011568,HLOSSW,HOW,713,LSS,421
5,1034689,CLLOSW,LOW,241,CLS,331
9,101011489,CLOSWW,CWW,313,LOS,324
7,10113569,CLLSSW,CLW,223,LSS,414
10,1234569,CLOSSW,COS,324,LSW,215
7,033468,HLLOSS,HSS,714,LLO,341
10,1055689,OSSWWW,OSS,122,WWW,213
8,334689,CCLOOW,LOW,431,CCO,142
6,10102489,CLOSSW,CLS,331,OSW,253
5,11113469,CLOOWW,LOW,414,COW,324
7,10114699,OOSSWW,OOW,123,SSW,243
10,1134566,LLOSSW,LOS,214,LSW,143
7,1034589,CCLSWW,CCW,143,LSW,322
6,01010588,CHLLSW,LSW,213,CHL,173
6,0104689,CHLLOW,CLW,132,HLO,731
6,10123569,CLOSSW,LOS,223,CSW,145
6,1034568,CLLSSW,LLW,132,CSS,134
10,01011568,CDOOSW,DOS,713,COW,142
5,0113446,CDLOSW,CLO,134,DSW,743
6,10105699,OSSSWW,OSW,132,SSW,232
7,10113568,CLLOSW,CLO,421,LSW,431
10,10114589,CLLOSW,LOS,213,CLW,432
5,10113569,LLOOSS,LOS,223,LOS,144
10,1035689,COSWWW,COS,123,WWW,124
7,10113489,CLOSWW,CLO,134,SWW,324
8,10114568,CCLLSW,CCS,313,LLW,214
4,1135669,LOSSWW,OSW,212,LSW,414
10,344588,CLLOWW,LOW,123,CLW,134
6,01010589,CCHLOW,CCL,213,HOW,732
5,1134699,COSSSW,OSS,124,CSW,423
8,10113599,COOSWW,OSW,232,COW,442
9,10125569,CLLOSW,CLW,223,LOS,215
10,1134456,CLOOSW,COS,413,LOW,243
8,01010488,CHLSWW,CHS,173,LWW,133
6,1034589,CLOSSW,CLS,223,OSW,413
9,1034588,CLSWWW,LSW,213,CWW,413
10,025669,CHLLOS,LLO,212,CHS,571
7,1134669,CLLOSW,LSW,213,CLO,414
7,0102568,CHOOSW,OOW,132,CHS,175
10,345689,CLSSWW,CSW,122,LSW,134
3,11113469,CLOWWW,OWW,234,CLW,144
5,1035689,CCLLOS,COS,124,CLL,213
6,0102569,CHLOSS,CLS,232,HOS,715
7,1034669,CLOOWW,LOO,413,CWW,312
6,1123499,CCLOSW,COS,235,CLW,244
10,1034588,CCLOWW,OWW,314,CCL,132
6,1133669,CCLLLW,CLL,412,CLW,441
4,1145569,CLOOSW,OSW,221,CLO,432
10,01010589,HOSSSW,HOS,732,SSW,213
8,0103458,CDLOOW,DOO,723,CLW,431
7,1124569,CLOSSW,CLW,421,OSS,235
10,10114569,CLLOOW,LOO,223,CLW,431
6,10113599,CLOOSW,LSW,223,COO,442
6,00101088,DHOWWW,DWW,713,HOW,731
10,0102468,CHLLSW,CLW,133,HLS,715
7,1034568,COSSWW,SSW,231,COW,341
8,101111569,OOOSWW,OOW,241,OSW,432
2,11123669,CLLSWW,LSW,451,CLW,412
8,1135669,COOSSW,CSW,212,OOS,441
5,10113489,CLLOSW,CLO,134,LSW,243
10,1035689,LLLOSW,LOS,241,LLW,213
9,1134458,CLLOSW,LOW,143,CLS,234
7,10102589,CLLOOS,LOS,132,CLO,253
10,10114589,CLOOSW,OSW,123,CLO,243
6,1133468,OOSSWW,OOS,134,SWW,414
6,345689,CLSSWW,SWW,212,CLS,314
5,0104588,CHOSWW,OWW,213,CHS,173
6,01011569,CDLOSW,COW,232,DLS,714
10,01011499,HOSSWW,OSW,342,HSW,723
8,334466,CLLOSS,LOS,134,CLS,413
5,0104589,CCHOWW,COW,232,CHW,371
10,01010388,DLOOSW,DOO,713,LSW,341
6,1124569,CLLOSW,CLS,214,LOW,352
6,1034569,CLLSWW,LWW,322,CLS,314
10,1034588,COOSSW,OOW,132,CSS,413
9,1135669,LOSWWW,SWW,212,LOW,441
6,101011589,CLOSSW,COW,234,LSS,321
7,1124569,CLLSSW,SSW,324,CLL,215
4,1133669,CCLOOS,CLO,124,COS,144
10,1055689,CCLSSW,CCW,212,LSS,213
4,0103489,HLOWWW,LOW,341,HWW,723
5,1134458,CLOSSW,OSW,413,CLS,234
5,10115669,CCLOOW,LOW,312,CCO,241
10,1134489,CCLOSW,CLW,314,COS,423
4,1025589,CLLOSS,CLL,213,OSS,225
8,1033459,CLOSSW,OSW,234,CLS,243
